doc_id,grid_acc,grid_ade,grid_fde,grid_transition_acc,token_f1
0,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
1,0.125,1.0088834764831844,1.4142135623730951,0.0,0.36363636363636365
2,0.125,1.0088834764831844,1.4142135623730951,0.0,0.36363636363636365
3,0.0,1.0505501431498512,1.4142135623730951,0.0,0.36363636363636365
4,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
5,0.0,0.36785113019775795,0.33333333333333337,0.2857142857142857,0.25
6,0.125,1.0088834764831844,1.4142135623730951,0.0,0.36363636363636365
7,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
8,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
9,0.125,1.0088834764831844,1.4142135623730951,0.0,0.5454545454545454
10,0.125,0.38511002862997024,0.33333333333333337,0.0,0.25
11,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
12,0.125,1.0359785406445547,1.4142135623730951,0.0,0.18181818181818182
13,0.0,0.4440355937288492,0.33333333333333337,0.14285714285714285,0.375
14,0.0,1.0776452073112215,1.4142135623730951,0.0,0.36363636363636365
15,0.125,1.0088834764831844,1.4142135623730951,0.0,0.36363636363636365
16,0.125,1.0088834764831844,1.4142135623730951,0.0,0.36363636363636365
17,0.125,0.41220509279134043,0.47140452079103173,0.0,0.375
18,0.25,0.3607022603955159,0.47140452079103173,0.14285714285714285,0.375
19,0.25,0.9672168098165178,1.4142135623730951,0.14285714285714285,0.36363636363636365
20,0.25,0.3434433619633036,0.33333333333333337,0.14285714285714285,0.375
21,0.0,0.4020950641613702,0.33333333333333337,0.2857142857142857,0.375
22,0.125,1.0088834764831844,1.4142135623730951,0.0,0.36363636363636365
23,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
24,0.25,0.9672168098165178,1.4142135623730951,0.14285714285714285,0.36363636363636365
25,0.0,1.060386308879009,1.4142135623730951,0.0,0.36363636363636365
26,0.125,0.47085679498940713,0.0,0.0,0.125
27,0.125,0.9672168098165178,1.4142135623730951,0.0,0.36363636363636365
28,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
29,0.0,1.060386308879009,1.4142135623730951,0.0,0.18181818181818182
30,0.125,1.0261423749153968,1.4142135623730951,0.0,0.5454545454545454
31,0.0,1.0505501431498512,1.4142135623730951,0.0,0.36363636363636365
32,0.0,1.0505501431498512,1.4142135623730951,0.14285714285714285,0.5454545454545454
33,0.125,0.47085679498940713,0.0,0.0,0.125
34,0.125,0.47085679498940713,0.0,0.0,0.125
35,0.125,0.47085679498940713,0.0,0.0,0.125
36,0.125,0.47085679498940713,0.0,0.0,0.125
37,0.125,0.47085679498940713,0.0,0.0,0.125
38,0.125,0.34344336196330355,0.33333333333333337,0.0,0.125
