cohort,cer,effective_fps,exact_match,family_label,label,mean_wall_time_s,method,model,open_mos,patch_ratio,rank,raw_sample_sha256,recompute_ratio,reference_recompute_ratio,role,samples,source,telemetry_summary_sha256,throughput_fps,token_f1,wer
educational_published,1.0704625839346382,,0,,,,internvl3_8b,InternVL3 8B,,,20,,,,,634,open,,,0.02503030545885109,1.0660084753836587
educational_published,1.0510580591302532,,0,,,,videollama3_7b,VideoLLaMA3 7B,,,21,,,,,634,open,,,0.02493691744497152,1.0497489981549928
educational_published,1.0467750893746477,,0,,,,longva_7b,LongVA 7B,,,22,,,,,634,open,,,0.024661617889657445,1.0424050061066892
educational_published,1.0340814107002563,,0,,,,internvl3_2b,InternVL3 2B,,,23,,,,,634,open,,,0.022309056166492085,1.0357447841537042
educational_published,1.057382352168392,,0,,,,internvl2_5_8b,InternVL2.5 8B,,,24,,,,,634,open,,,0.018853306384938217,1.057194212650538
educational_published,1.0205119702954106,,0,,,,internvl2_5_4b,InternVL2.5 4B,,,25,,,,,634,open,,,0.017919950359298137,1.0236172586536032
educational_published,1.0314727804633639,,0,,,,internvl2_5_1b,InternVL2.5 1B,,,26,,,,,634,open,,,0.017842716799282916,1.033601478031424
educational_published,1.0405626588277064,,0,,,,llava_onevision_original,LLaVA-OneVision Qwen2 7B,,,27,,,,,634,open,,,0.01752016317982999,1.039818796076794
educational_published,1.0244956136416596,,0,,,,videollama3_2b,VideoLLaMA3 2B,,,28,,,,,634,open,,,0.01584763764836983,1.0268283128884375
educational_published,1.0172852136789552,,0,,,,internvl2_5_2b,InternVL2.5 2B,,,29,,,,,634,open,,,0.011929782390987282,1.0203659095386695
educational_grt_controls,,,,LLaVA-OneVision 0.5B Route31,Archived public baseline,,llava_onevision_0_5b,,0.1167192429022082,,,675cce78ab46c01aa739d07cf4403dfa028e9a0d190af7b914bbc3d67f27f293,,,archived_public,634,,,,0.014087875254888587,
